Time,Percentage
45412.528841,64
45412.528888,64
45412.528934,64
45412.528980,66
45412.529027,61
45412.529073,63
45412.529119,66
45412.529165,68
45412.529212,62
45412.529258,59
45412.529304,57
45412.529351,61
45412.529397,63
45412.529443,63
45412.529490,63
45412.529536,63
45412.529582,63
45412.529628,63
45412.529675,63
45412.529721,63
45412.529767,63
45412.529814,63
45412.529860,63
45412.529906,63
45412.529953,63
45412.529999,63
45412.530045,63
45412.530091,63
45412.530138,63
